step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
535.0,38,0,7,335,373,0,24.0,0.631578947368421,6.700681111363793,7,125.0,0.28783744508655473,7,125.0
540.0,38,0,2,338,376,0,4.0,0.10526315789473684,6.9630339182657925,2,129.0,0.38187616309559835,2,129.0
545.0,37,0,7,344,381,0,30.0,0.8108108108108109,6.925029930520227,7,141.0,0.36675585466614075,7,141.0
550.0,39,0,11,347,386,0,79.0,2.0256410256410255,5.768573921910852,11,190.0,0.28401573433614435,11,190.0
555.0,36,0,15,352,388,0,73.0,2.0277777777777777,2.9714358924922264,15,208.0,0.12762637265290758,15,208.0
560.0,40,0,15,355,395,0,61.0,1.525,4.4602450709103865,15,200.0,0.24373497402096866,15,200.0
565.0,45,0,11,355,400,0,71.0,1.5777777777777777,6.149296189900505,11,167.0,0.30066446023236637,11,167.0
570.0,44,0,2,358,402,0,3.0,0.06818181818181818,4.73885530573671,2,166.0,0.19417714605577263,2,166.0
575.0,42,0,6,363,405,0,20.0,0.47619047619047616,5.476190276459827,6,141.0,0.26406481667944526,6,141.0
580.0,41,0,13,367,408,0,72.0,1.7560975609756098,5.468982550512205,13,189.0,0.2200602044122514,13,189.0
585.0,43,0,14,371,414,0,78.0,1.813953488372093,4.906843401734403,14,216.0,0.24147127877056415,14,216.0
590.0,42,0,12,376,418,0,51.0,1.2142857142857142,4.470505556429681,12,200.0,0.19437909873202228,12,200.0
595.0,44,0,12,378,422,0,51.0,1.1590909090909092,5.9862401198850845,12,171.0,0.2423408557402801,12,171.0
600.0,45,0,11,382,427,0,58.0,1.288888888888889,6.891613228671624,11,161.0,0.34192280389488383,11,161.0
605.0,39,2,2,388,427,0,2.0,0.05128205128205128,6.443259101678884,2,150.0,0.361517226262659,2,150.0
610.0,41,1,6,392,433,0,22.0,0.5365853658536586,6.563764135692684,6,141.0,0.34162410044449193,6,141.0
615.0,43,1,12,396,439,0,72.0,1.6744186046511629,6.031150139416002,12,190.0,0.2676904493742097,12,190.0
620.0,46,0,13,400,446,0,74.0,1.608695652173913,4.626376141258028,13,223.0,0.21697576759443135,13,223.0
625.0,45,0,14,406,451,0,61.0,1.3555555555555556,4.374950748770624,14,196.0,0.20702615277240696,14,196.0
630.0,47,1,12,407,454,0,54.0,1.148936170212766,5.121803033538835,12,181.0,0.20560525034413726,12,181.0
635.0,45,2,13,411,456,0,78.0,1.7333333333333334,5.868140432507169,13,178.0,0.25894087248380443,13,178.0
640.0,46,4,10,414,460,0,111.0,2.4130434782608696,7.580364802596821,10,183.0,0.44092088940652446,10,183.0
645.0,46,1,6,420,466,0,46.0,1.0,6.8863250448135185,6,180.0,0.40991757213404695,6,180.0
650.0,45,0,8,426,471,0,31.0,0.6888888888888889,6.005668002151845,8,145.0,0.31260275221759504,8,145.0
655.0,45,0,14,430,475,0,89.0,1.9777777777777779,6.463533161131031,14,157.0,0.2988251316636376,14,157.0
660.0,40,0,16,436,476,0,90.0,2.25,3.473843498340225,16,197.0,0.1254785225175818,16,197.0
665.0,41,0,16,440,481,0,73.0,1.7804878048780488,4.467055758458189,16,207.0,0.1963970420804099,16,207.0
670.0,41,0,13,442,483,0,86.0,2.097560975609756,5.490828460850531,13,187.0,0.19038932328052996,13,187.0
675.0,41,0,4,445,486,0,22.0,0.5365853658536586,5.594553250007887,4,198.0,0.26481597616696007,4,198.0
680.0,37,0,7,451,488,0,29.0,0.7837837837837838,5.653707045300345,7,175.0,0.2674608303484919,7,175.0
685.0,38,0,13,454,492,0,81.0,2.1315789473684212,5.024400913947041,13,208.0,0.1775458959320834,13,208.0
690.0,36,0,19,458,494,0,167.0,4.638888888888889,3.5361789736794353,19,294.0,0.13900049383177143,19,294.0
695.0,35,0,19,464,499,0,167.0,4.771428571428571,2.8744918024039023,19,339.0,0.20492847758028787,19,339.0
700.0,41,0,13,464,505,0,107.0,2.6097560975609757,5.53540152859173,13,314.0,0.31721201427984347,13,314.0
705.0,46,0,11,464,510,0,68.0,1.4782608695652173,6.334484194810449,11,243.0,0.3035696159766916,11,243.0
710.0,43,0,8,467,510,0,45.0,1.0465116279069768,6.17849399535275,8,214.0,0.26116691572470696,8,214.0
715.0,39,0,10,473,512,0,81.0,2.076923076923077,6.935272260879123,10,176.0,0.3145323604258913,10,176.0
720.0,36,0,7,477,513,0,38.0,1.0555555555555556,6.259998865106924,7,184.0,0.3385617195841364,7,184.0
725.0,35,0,6,482,517,0,25.0,0.7142857142857143,6.205748981408335,6,160.0,0.30342113615795124,6,160.0
730.0,33,0,13,486,519,0,77.0,2.3333333333333335,5.28502617522171,13,172.0,0.1534866891078111,13,172.0
735.0,36,0,12,489,525,0,70.0,1.9444444444444444,5.869930463864225,12,189.0,0.29662467573285095,12,189.0
740.0,34,0,6,494,528,0,27.0,0.7941176470588235,6.031319283695681,6,143.0,0.26809306798771754,6,143.0
745.0,36,0,3,497,533,0,9.0,0.25,7.990048154416393,3,74.0,0.3958029083544347,3,74.0
750.0,35,0,4,501,536,0,7.0,0.2,6.532121929010644,4,74.0,0.32817386804615445,4,74.0
755.0,33,0,8,506,539,0,34.0,1.0303030303030303,6.161279454730685,8,101.0,0.2888563303193907,8,101.0
760.0,34,0,13,509,543,0,88.0,2.588235294117647,4.983984710699253,13,155.0,0.2109078714926275,13,155.0
765.0,33,0,13,513,546,0,81.0,2.4545454545454546,3.1290898978952177,13,184.0,0.1657396199178333,13,184.0
770.0,32,0,12,515,547,0,52.0,1.625,4.1232591789669595,12,170.0,0.1959566569381336,12,170.0
775.0,34,0,5,515,549,0,35.0,1.0294117647058822,6.555185942768578,5,130.0,0.2536663192052399,5,130.0
780.0,34,0,4,518,552,0,34.0,1.0,9.222147722826577,4,113.0,0.5156263952551635,4,113.0
785.0,32,0,0,524,556,0,0.0,0.0,8.319456562110382,0,78.0,0.49606161923707587,0,78.0
790.0,31,0,6,529,560,0,20.0,0.6451612903225806,7.031225478850594,6,84.0,0.34260156925094554,6,84.0
795.0,31,0,12,533,564,0,69.0,2.225806451612903,6.308465283564643,12,133.0,0.2909791214067804,12,133.0
800.0,27,0,10,538,565,0,65.0,2.4074074074074074,3.586020601789206,10,158.0,0.15961817089726962,10,158.0
805.0,31,0,7,540,571,0,21.0,0.6774193548387096,6.3878224964245955,7,110.0,0.3361536422297793,7,110.0
810.0,33,0,2,541,574,0,15.0,0.45454545454545453,8.795804892730109,2,68.0,0.48912417663675417,2,68.0
815.0,32,0,2,545,577,0,25.0,0.78125,9.046017995497971,2,38.0,0.5291967869460495,2,38.0
820.0,34,0,6,549,583,0,47.0,1.3823529411764706,9.369258895129079,6,47.0,0.5868666613043045,6,47.0
